 ,Label,Area,Mean,StdDev,Min,Max,Slice
518,22946173.tif:Blue,281,255,0,255,255,3
519,22946173.tif:Blue,281,255,0,255,255,3
520,22946173.tif:Blue,283,255,0,255,255,3
521,22946173.tif:Blue,310,255,0,255,255,3
522,22946173.tif:Blue,278,255,0,255,255,3
523,22946173.tif:Blue,278,255,0,255,255,3
524,22946173.tif:Blue,255,255,0,255,255,3
525,22946173.tif:Blue,277,255,0,255,255,3
526,22946173.tif:Blue,324,255,0,255,255,3
527,22946173.tif:Blue,271,255,0,255,255,3
528,22946173.tif:Blue,443,255,0,255,255,3
529,22946173.tif:Blue,409,255,0,255,255,3
530,22946173.tif:Blue,292,255,0,255,255,3
531,22946173.tif:Blue,367,255,0,255,255,3
532,22946173.tif:Blue,234,255,0,255,255,3
533,22946173.tif:Blue,317,255,0,255,255,3
534,22946173.tif:Blue,492,255,0,255,255,3
535,22946173.tif:Blue,252,255,0,255,255,3
536,22946173.tif:Blue,283,255,0,255,255,3
537,22946173.tif:Blue,273,255,0,255,255,3
538,22946173.tif:Blue,363,255,0,255,255,3
539,22946173.tif:Blue,299,255,0,255,255,3
540,22946173.tif:Blue,297,255,0,255,255,3
541,22946173.tif:Blue,300,255,0,255,255,3
542,22946173.tif:Blue,353,255,0,255,255,3
543,22946173.tif:Blue,416,255,0,255,255,3
544,22946173.tif:Blue,288,255,0,255,255,3
545,22946173.tif:Blue,264,255,0,255,255,3
546,22946173.tif:Blue,371,255,0,255,255,3
547,22946173.tif:Blue,302,255,0,255,255,3
548,22946173.tif:Blue,288,255,0,255,255,3
549,22946173.tif:Blue,294,255,0,255,255,3
550,22946173.tif:Blue,256,255,0,255,255,3
551,22946173.tif:Blue,265,255,0,255,255,3
552,22946173.tif:Blue,391,255,0,255,255,3
553,22946173.tif:Blue,299,255,0,255,255,3
554,22946173.tif:Blue,257,255,0,255,255,3
